PDB ID, Region within RBD, Delphi Electrostatic Potential
5do2,region_5,-34.213581921817266
5do2,region_6,0
5do2,region_7,0
5do2,region_8,17.566540369698554
5do2,region_9,0
5do2,region_10,-11.59399713763262
5do2,region_11,-15.293591743404887
5do2,region_12,27.58009006938468
5do2,region_13,-66.73326414969709
5do2,region_14,-104.43545970761173
5do2,region_15,-34.910039566538735
5gmq,region_1,-120.48939250261161
5gmq,region_2,6.343041317413402
5gmq,region_3,-47.89562582817236
5gmq,region_4,181.72873223690584
5gmq,region_5,-61.31417252320063
5gmq,region_6,0
5gmq,region_7,0
5gmq,region_8,-20.380341334420102
5gmq,region_9,-21.167761802017854
5gmq,region_10,4.408710276996973
5gmq,region_11,28.824053576677528
5gmq,region_12,58.915265064006704
5gmq,region_13,-208.5287185691728
5gmq,region_14,-80.34851261188858
5gmq,region_15,-40.65799885586233
5yy5,region_1,-45.71827057928434
5yy5,region_2,-208.07488302763872
5yy5,region_3,-6.727384451934826
5yy5,region_4,-7.131192625440034
5yy5,region_5,47.12739298805023
5yy5,region_6,4.499610815979427
5yy5,region_7,0
5yy5,region_8,0
5yy5,region_9,-25.183845131036158
5yy5,region_10,-14.538835785932957
5yy5,region_11,4.525749594619464
5yy5,region_12,94.81598092226513
5yy5,region_13,77.39718753459158
5yy5,region_14,-143.78945942472194
5yy5,region_15,-164.91678349026066
5yy5,region_16,-68.51350472532644
5zxv,region_1,-112.61786792853574
5zxv,region_2,7.2200133841611756
5zxv,region_3,-61.611985334850495
5zxv,region_4,49.23490235317127
5zxv,region_5,-21.328042891303003
5zxv,region_6,0
5zxv,region_7,0
5zxv,region_8,-166.33665790155948
5zxv,region_9,0
5zxv,region_10,4.339341224663091
5zxv,region_11,-5.467626882482401
5zxv,region_12,56.73633968197597
5zxv,region_13,-104.17068522571755
5zxv,region_14,-78.85896812219836
5zxv,region_15,18.080157923446286
6c6z,region_1,-146.50957241901602
6c6z,region_2,8.437146433424584
6c6z,region_3,-67.77295312079582
6c6z,region_4,17.798821044288253
6c6z,region_5,-65.29644589501895
6c6z,region_6,0
6c6z,region_7,31.096674161570927
6c6z,region_8,9.318283834551773
6c6z,region_9,12.008526844509259
6c6z,region_10,-21.64420124239014
6c6z,region_11,20.060819285123856
6c6z,region_12,-62.11934394846014
6c6z,region_13,-138.99629341374697
6c6z,region_14,-74.91531821799879
6j11,region_1,-59.87531201731642
6j11,region_2,57.28954731755344
6j11,region_3,-94.44353069266676
6nb3,region_1,-37.00749440760082
6nb3,region_2,38.01764403691306
6nb3,region_3,0
6nb3,region_4,-64.44751218776484
6nb3,region_5,13.548643023351659
6nb3,region_6,-24.700141189864702
